web-scraper-order,web-scraper-start-url,pagination,course_link,course_link-href,course_institution,course_category,course_name,course_description,estimated_weeks,estimated_hours_per_week,study_mode,course_language,video_transcript_language,course_level,verified_price,audit_price
"1632950309-467","https://www.edx.org/search?tab=course","","China and Communism…Schools and Partners: HarvardX…Course","https://www.edx.org/course/china-and-communism?index=product&queryID=0e3e294cbdeb6a13dd2e2a38cf0b604b&position=17","Harvard University Logo","History Courses","China and Communism","Explore the Maoist period of China, from the Communist Party to the death of Mao and the reopening of China.","Estimated 15 weeks","1–3 hours per week","Self-paced","Language:  English","Video Transcripts:  English, 中文","Level:  Introductory","MX$2,022","Free"
"1632950526-560","https://www.edx.org/search?tab=course","","Solid Waste Management…Schools and Partners: WBGx…Course","https://www.edx.org/course/solid-waste-management?index=product&queryID=6197237499a5d38533d2b0eb2d2fd0e7&position=20","World Bank Group Logo","Environmental Studies Courses","Solid Waste Management","Solid waste is one of the most pressing issues of our time. World over, people are generating greater amounts of garbage without much thought. The phrase “out of sight, out of mind” holds true for many of us when it comes to waste issues. Once garbage leaves our homes and offices and factories, do we really consider what happens to it, who’s collecting it, or what impact it’s having on our environment and our health?","Estimated 6 weeks","2–3 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$102","Free"
"1632951115-813","https://www.edx.org/search?tab=course","","Strategic Management…Schools and Partners: IIMBx…Course","https://www.edx.org/course/strategic-management?index=product&queryID=1df42272ef9562f12af536a3ee2933f6&position=7","Indian Institute of Management Bangalore Logo","Business & Management Courses","Strategic Management","null","Estimated 5 weeks","3–5 hours per week","Self-paced","Language:  English","Video Transcripts:  English, हिन्दी","Level:  Introductory","MX$3,064","Free"
"1632950218-428","https://www.edx.org/search?tab=course","","Design Thinking: Ideation,
Iteration and
Communication…Schools and Partners: RITx…Course","https://www.edx.org/course/design-thinking-ideation-iteration-and-communicati?index=product&queryID=9b1bdd3225239f7c5ad2aabc24a49392&position=8","Rochester Institute of Technology Logo","Business & Management Courses","Design Thinking: Ideation, Iteration and Communication","Learn how ideas transform into solutions through iteration and validation along with best practices for communicating your solution to stakeholders.","Estimated 6 weeks","8–12 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Intermediate","MX$6,107","Free"
"1632951495-980","https://www.edx.org/search?tab=course","","Improving Your Business
Through a Culture of
Health…Schools and Partners: HarvardX…Course","https://www.edx.org/course/improving-your-business-through-a-culture-of-healt?index=product&queryID=e43b8052272822fd89c2f3cd8f2a0bdd&position=8","Harvard University Logo","Business & Management Courses","Improving Your Business Through a Culture of Health","Learn how a Culture of Health can transform your business to improve the well-being of your employees and company, while increasing revenue.","Estimated 9 weeks","1–3 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$3,044","Free"
"1632951577-1015","https://www.edx.org/search?tab=course","","Science & Cooking: From
Haute Cuisine to Soft
Matter Science (chemis……Schools and Partners: HarvardX…Course","https://www.edx.org/course/science-cooking-from-haute-cuisine-to-soft-matter?index=product&queryID=02675bfcb9e25c57835d11177f39e4ed&position=21","Harvard University Logo","Chemistry Courses","Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry)","Top chefs and Harvard researchers explore how everyday cooking and haute cuisine can illuminate basic principles in chemistry, physics, and engineering. Learn about food molecules and how chemical reactions can affect food texture and flavor.","Estimated 16 weeks","2–3 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$3,452","Free"
"1632951824-1122","https://www.edx.org/search?tab=course","","Excel for Everyone: Core
Foundations…Schools and Partners: UBCx…Course","https://www.edx.org/course/excel-for-everyone-core-foundations?index=product&queryID=588dbeb1008274c93ff2af0c6813ab19&position=10","University of British Columbia Logo","Data Analysis & Statistics Courses","Excel for Everyone: Core Foundations","Learn Excel fundamentals including data wrangling, spreadsheet management, and basic data analysis.","Estimated 6 weeks","4–6 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$3,044","Free"
"1632949981-326","https://www.edx.org/search?tab=course","","Introducción a la
Inteligencia Artificial de
Watson…Schools and Partners: IBM…Course","https://www.edx.org/course/introduccion-a-la-inteligencia-artificial-de-watson?index=product&queryID=0943cf96cbee1f81beaaf29e25ea0e4b&position=14","IBM Logo","Computer Science Courses","Introducción a la Inteligencia Artificial de Watson","Aprende cómo comenzar rápida y fácilmente con la Inteligencia Artificial utilizando IBM Watson.","Estimated 8 weeks","4–8 hours per week","Self-paced","Language:  Español","Video Transcript:  Español","Level:  Introductory","MX$1,001","Free"
"1632950230-433","https://www.edx.org/search?tab=course","","Pronósticos de ventas:
una herramienta
comercial…Schools and Partners: JaverianaX…Course","https://www.edx.org/course/pronosticos-de-ventas-una-herramienta-comercial?index=product&queryID=9b1bdd3225239f7c5ad2aabc24a49392&position=3","Pontificia Universidad Javeriana Logo","Business & Management Courses","Pronósticos de ventas: una herramienta comercial","Aprender a elaborar e interpretar los pronósticos de ventas, permite prevenir, desarrollar, supervisar y juzgar estrategias administrativas para cualquier tamaño de negocio, aumentar las ventas y preparase para los cambios constantes del mercado.","Estimated 4 weeks","9–10 hours per week","Self-paced","Language:  Español","Video Transcript:  Español","Level:  Introductory","MX$1,001","Free"
"1632949959-317","https://www.edx.org/search?tab=course","","Herramientas de
ciberseguridad y
métodos de aplicación…Schools and Partners: AnahuacX…Course","https://www.edx.org/course/herramientas-de-ciberseguridad-y-metodos-de-aplicacion?index=product&queryID=0943cf96cbee1f81beaaf29e25ea0e4b&position=23","Universidades Anáhuac Logo","Computer Science Courses","Herramientas de ciberseguridad y métodos de aplicación","Conoce las nuevas herramientas y las buenas prácticas para gestionar sistemas de ciberseguridad que protejan los datos de tu organización.","Estimated 5 weeks","5–7 hours per week","Self-paced","Language:  Español","Video Transcript:  Español","Level:  Introductory","MX$1,001","Free"
