web-scraper-order,web-scraper-start-url,topics,topics-href,course,course-href,course_institution,course_name,course_description,estimated_weeks,estimated_hours_per_week,study_mode,course_language,course_transcript_language,course_level,verified_price,audit_price
"1633025748-2912","https://www.edx.org/learn","Social Responsibility","https://www.edx.org/learn/social-responsibility","Leading in a Complex
Environment…Schools and Partners: UQx…Course","https://www.edx.org/course/leading-in-a-complex-environment","The University of Queensland Logo","Leading in a Complex Environment","Learn how to lead your organization through challenging, modern-day, global issues.","Estimated 10 weeks","8–10 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$6,657","Free"
"1633024514-2477","https://www.edx.org/learn","Data Analysis","https://www.edx.org/learn/data-analysis","Visualización de datos:
Análisis de datos con
Tableau…Schools and Partners: FedericaX…Professional Certificate 3 Courses","https://www.edx.org/professional-certificate/federica-visualizacion-de-datos-analisis-de-datos-con-tableau","null","null","null","null","null","null","null","null","En el 74% de las búsquedas online de personal la selección de  personal busca expertos con competencias en el ámbito de los  datos (Fuente: Observatorio Análisis de Grandes Datos &  Inteligencia Empresarial del Politécnico de Milán)","null","null"
"1633027463-3527","https://www.edx.org/learn","Banking","https://www.edx.org/learn/banking","Capital Markets…Schools and Partners: NYIF…Professional Certificate 6 Courses","https://www.edx.org/professional-certificate/nyif-capital-markets","null","null","null","null","null","null","null","null","Career prospects for similar training include financial analyst, operations analyst, financial representative, financial advisor, wealth management professional. Finance assistant, financial support analyst, operations specialist.","null","null"
"1633025980-2995","https://www.edx.org/learn","Sustainability","https://www.edx.org/learn/sustainability","Capstone Chemistry and
Technology for
Sustainability…Schools and Partners: WageningenX…Course","https://www.edx.org/course/capstone-chemistry-and-technology-for-sustainabili","Wageningen University & Research Logo","Capstone Chemistry and Technology for Sustainability","This Capstone project is the final part of the MicroMasters Program in Chemistry and Technology for Sustainability. Design a sustainable biobased process and evaluate the technological, societal and economic impact to finish the MicroMasters Program.","Estimated 8 weeks","12–20 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Advanced","MX$6,125","Free"
"1633025410-2802","https://www.edx.org/learn","Chinese History","https://www.edx.org/learn/chinese-history","China’s Ancient Ritual
Civilization |
中国古代礼义文明…Schools and Partners: TsinghuaX…Course","https://www.edx.org/course/chinas-ancient-ritual-civilization","Tsinghua University Logo","China’s Ancient Ritual Civilization | 中国古代礼义文明","Learn about China’s ancient ritual civilization and cultural traditions. 中国是传承千年的礼仪之邦，中国文化的核心是礼。本课程讲通过大量的文献材料，深入浅出地讲授中国古代礼仪文明的基本框架。","Estimated 10 weeks","2–3 hours per week","Self-paced","Language:","Video Transcripts:  English, 中文","Level:  Introductory","MX$2,847","Free"
"1633026471-3183","https://www.edx.org/learn","Computer Hardware","https://www.edx.org/learn/computer-hardware","Introduction to RISC-V…Schools and Partners: LinuxFoundationX…Course","https://www.edx.org/course/introduction-to-risc-v","The Linux Foundation Logo","Introduction to RISC-V","Get to learn all about RISC-V: find out how to work with open specifications and the organization that curates them, and discover how you can become a part of this vibrant community.","Estimated 7 weeks","1–2 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$3,052","Free"
"1633027313-3474","https://www.edx.org/learn","Financial Analysis","https://www.edx.org/learn/financial-analysis","Ratio Analysis…Schools and Partners: NYIF…Course","https://www.edx.org/course/ratio-analysis","New York Institute of Finance Logo","Ratio Analysis","Get introduced to the various ratios used for corporate financial analysis and learn how to customize them to assess the creditworthiness of a company.","Estimated 5 weeks","2–3 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Advanced","null","null"
"1633026795-3297","https://www.edx.org/learn","Structural Engineering","https://www.edx.org/learn/structural-engineering","Structural Design…Schools and Partners: PurdueX…MicroMasters® Program 6 Courses","https://www.edx.org/micromasters/structural-design","null","null","null","null","null","null","null","null","Civil engineers with ample experience have opportunities as functional managers of design and construction. Only licensed engineers can assume responsibilities for public projects.","null","null"
"1633025275-2759","https://www.edx.org/learn","Language","https://www.edx.org/learn/language","Japanese Culture and
Language (I) |
日语与日本文化（1）…Schools and Partners: TsinghuaX…Course","https://www.edx.org/course/japanese-culture-and-language-i-1","Tsinghua University Logo","Japanese Culture and Language (I) | 日语与日本文化（1）","Do you have interests in the Japanese life styles and their national cultures? Do you have the ambition to grasp some basic Japanese quickly?Then this is the course for you.","Estimated 10 weeks","3–5 hours per week","Self-paced","Language:","Video Transcripts:  日本語, 中文","Level:  Introductory","MX$2,847","Free"
"1633026528-3204","https://www.edx.org/learn","Biomedical Engineering","https://www.edx.org/learn/biomedical-engineering","Making a Cell Therapy:
Principles and Practice of
Manufacturing…Schools and Partners: MITx…Course","https://www.edx.org/course/fundamentals-of-cell-therapies-and-their-production","Massachusetts Institute of Technology Logo","Making a Cell Therapy: Principles and Practice of Manufacturing","Cell therapies, such as CAR-T and stem cell therapies, are an exciting new class of therapeutics with the potential to revolutionize medicine. Learn the biology, engineering, and analytical chemistry behind how these amazing new products are manufactured.","Estimated 9 weeks","5–7 hours per week","Instructor-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$3,052","Free"
"1633023963-2263","https://www.edx.org/learn","Environmental Science","https://www.edx.org/learn/environmental-science","Physico/Chemical
Processes of
Environmental Engineeri……Schools and Partners: PurdueX…Course","https://www.edx.org/course/physicochemical-processes-of-environmental-engineering","Purdue University Logo","Physico/Chemical Processes of Environmental Engineering","Students will learn fundamental principles of physico/chemical processes that are commonly used by Environmental Engineers. Emphasis will be on fundamental concepts, so as to prompt their application in a wide range of settings, and to promote creativity.","Estimated 17 weeks","12–15 hours per week","Instructor-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$46,089","Free"
"1633023652-2136","https://www.edx.org/learn","Education","https://www.edx.org/learn/education","Performance Assessment
in the NGSS Classroom:
Course 1…Schools and Partners: StanfordOnline…Course","https://www.edx.org/course/performance-assessment-in-the-ngss-classroom-course-1","Stanford University Logo","Performance Assessment in the NGSS Classroom: Course 1","This course from the Stanford NGSS Assessment Project (SNAP) is designed to guide participants in exploring the role performance assessment can play in helping students meet the goals of the Next Generation Science Standards. Participants will learn SNAP's strategies for analyzing what an assessment is evaluating, analyzing multidimensional student data, and making instructional decisions based on evidence of students' progress and additional needs. Participants will have opportunities throughout the course to practice using these strategies with sample short performance assessments (20-minute tasks) and student data.","Estimated 4 weeks","1–3 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","null","null"
"1633024420-2441","https://www.edx.org/learn","Geometry","https://www.edx.org/learn/geometry","Convex Optimization…Schools and Partners: StanfordOnline…Course","https://www.edx.org/course/convex-optimization","Stanford University Logo","Convex Optimization","This course concentrates on recognizing and solving convex optimization problems that arise in applications. The syllabus includes: convex sets, functions, and optimization problems; basics of convex analysis; least-squares, linear and quadratic programs, semidefinite programming, minimax, extremal volume, and other problems; optimality conditions, duality theory, theorems of alternative, and applications; interior-point methods; applications to signal processing, statistics and machine learning, control and mechanical engineering, digital and analog circuit design, and finance.","Estimated 8 weeks","10–15 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Advanced","null","null"
"1633024840-2603","https://www.edx.org/learn","International Development","https://www.edx.org/learn/international-development","Food Security and
Sustainability…Schools and Partners: WageningenX…XSeries Program 3 Courses","https://www.edx.org/xseries/food-security-sustainability","null","null","null","null","null","null","null","null","null","null","null"
"1633027474-3531","https://www.edx.org/learn","Web Design","https://www.edx.org/learn/web-design","HTML5 and CSS
Fundamentals…Schools and Partners: W3Cx…Course","https://www.edx.org/course/html5-and-css-fundamentals","The World Wide Web Consortium (W3C) Logo","HTML5 and CSS Fundamentals","Learn how to build Web sites using HTML5 and basic CSS, directly from W3C, creator of the latest Web standards.","Estimated 6 weeks","4–6 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$4,076","Free"
"1633028952-3956","https://www.edx.org/learn","Innovation","https://www.edx.org/learn/innovation","Find the right markets for
your innovation - A tool
for entrepreneurs and in……Schools and Partners: EPFLx…Course","https://www.edx.org/course/find-the-right-markets-for-your-innovation-a-tool","École polytechnique fédérale de Lausanne Logo","Find the right markets for your innovation - A tool for entrepreneurs and innovators for choosing which markets to play in.","Learn how to apply the Market Opportunity Navigator - a three-step tool for identifying, evaluating and strategizing market opportunities - to get the most value for your innovation.","Estimated 6 weeks","3–4 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$3,462","Free"
"1633025930-2975","https://www.edx.org/learn","Sustainable Development","https://www.edx.org/learn/sustainable-development","Measuring Sustainable
Development…Schools and Partners: SDGAcademyX…Course","https://www.edx.org/course/measuring-sustainable-development","SDG Academy Logo","Measuring Sustainable Development","The United Nations Sustainable Development Goals are an ambitious global agenda for prosperity, people, and planet. But how do we know if we are on track to achieve the SDGs? Which Goals should different stakeholders prioritize? And what kind of data do we need to ensure that no one is left behind?","Estimated 5 weeks","1–3 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$512","Free"
